location_id,city_name,state_name,state_code,country,region,mesoregion,latitude,longitude,altitude_m,population_class
itajai,Itajaí,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.9047,-48.6553,0,small
itapema,Itapema,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-27.0947,-48.6138,0,small
itapiranga,Itapiranga,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.1724,-53.7119,0,small
itapoa,Itapoá,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.1162,-48.618,0,small
ituporanga,Ituporanga,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.4096,-49.6015,0,small
jabora,Jaborá,Santa Catarina,SC,Brasil,Sul,Vale do Itajaí,-27.1743,-51.7349,0,small
jacinto_machado,Jacinto Machado,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.9993,-49.7603,0,small
jaguaruna,Jaguaruna,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.6237,-49.0289,0,small
jaragua_do_sul,Jaraguá do Sul,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-26.4897,-49.0778,0,small
jardinopolis,Jardinópolis,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.7216,-52.8591,0,small
joacaba,Joaçaba,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.1737,-51.5065,0,small
joinville,Joinville,Santa Catarina,SC,Brasil,Sul,Norte Catarinense,-26.3045,-48.8487,0,small
jose_boiteux,José Boiteux,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.9621,-49.6263,0,small
jupia,Jupiá,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-26.3986,-52.7263,0,small
lacerdopolis,Lacerdópolis,Santa Catarina,SC,Brasil,Sul,Oeste Catarinense,-27.2614,-51.5564,0,small
lages,Lages,Santa Catarina,SC,Brasil,Sul,Grande Florianópolis,-27.8166,-50.3259,0,small
laguna,Laguna,Santa Catarina,SC,Brasil,Sul,Sul Catarinense,-28.4837,-48.7817,0,small
